VendorID,tpep_pickup_datetime,tpep_dropoff_datetime,passenger_count,trip_distance,RatecodeID,store_and_fwd_flag,PULocationID,DOLocationID,payment_type,fare_amount,extra,mta_tax,tip_amount,tolls_amount,improvement_surcharge,total_amount,congestion_surcharge,airport_fee
2,"1/1/2018, 2:35:12 AM","1/1/2018, 3:08:33 AM",1,8,1,N,37,141,1,27.5,0.5,0.5,5.76,0,0.3,34.56,-,-
2,"1/1/2018, 2:33:25 AM","1/1/2018, 2:48:48 AM",1,3.91,1,N,79,141,1,14,0.5,0.5,3.06,0,0.3,18.36,-,-
2,"1/1/2018, 2:49:54 AM","1/1/2018, 2:53:28 AM",1,0.84,1,N,141,263,1,5,0.5,0.5,1.26,0,0.3,7.56,-,-
1,"1/1/2018, 2:29:39 AM","1/1/2018, 2:47:56 AM",2,2.2,1,N,90,48,1,13,0.5,0.5,2,0,0.3,16.3,-,-
1,"1/1/2018, 2:50:05 AM","1/1/2018, 2:55:55 AM",3,0.9,1,N,48,143,1,6,0.5,0.5,1.45,0,0.3,8.75,-,-
1,"1/1/2018, 2:25:53 AM","1/1/2018, 2:32:15 AM",3,1.2,1,N,257,227,2,6.5,0.5,0.5,0,0,0.3,7.8,-,-
2,"1/1/2018, 2:13:13 AM","1/1/2018, 2:47:12 AM",1,14.89,1,N,142,26,1,43.5,0.5,0.5,0,0,0.3,44.8,-,-
1,"1/1/2018, 2:15:32 AM","1/1/2018, 2:24:37 AM",1,1.1,1,N,163,233,2,7,0.5,0.5,0,0,0.3,8.3,-,-
1,"1/1/2018, 2:27:22 AM","1/1/2018, 3:16:31 AM",1,5.4,1,N,233,231,2,30.5,0.5,0.5,0,0,0.3,31.8,-,-
2,"1/1/2018, 2:24:27 AM","1/1/2018, 2:31:13 AM",1,1.11,1,N,238,24,1,6.5,0.5,0.5,1,0,0.3,8.8,-,-
2,"1/1/2018, 2:36:46 AM","1/1/2018, 2:46:35 AM",1,1.83,1,N,166,74,1,9,0.5,0.5,2.58,0,0.3,12.88,-,-
2,"1/1/2018, 3:00:00 AM","1/1/2018, 3:05:09 AM",1,0.83,1,N,239,238,2,5.5,0.5,0.5,0,0,0.3,6.8,-,-
1,"1/1/2018, 2:22:56 AM","1/1/2018, 2:43:38 AM",1,5.1,1,N,239,249,1,19,0.5,0.5,2.03,0,0.3,22.33,-,-
1,"1/1/2018, 2:26:55 AM","1/1/2018, 2:43:12 AM",2,3.8,1,N,170,238,2,14.5,0.5,0.5,0,0,0.3,15.8,-,-
1,"1/1/2018, 2:48:37 AM","1/1/2018, 2:52:38 AM",6,0.6,1,N,236,237,1,5,0.5,0.5,60,0,0.3,66.3,-,-
1,"1/1/2018, 2:57:46 AM","1/1/2018, 3:04:20 AM",1,1.9,1,N,236,238,1,8,0.5,0.5,1.85,0,0.3,11.15,-,-
2,"1/1/2018, 2:51:57 AM","1/1/2018, 3:13:41 AM",1,4.56,1,N,7,80,2,17.5,0.5,0.5,0,0,0.3,18.8,-,-
1,"1/1/2018, 2:20:11 AM","1/1/2018, 2:41:28 AM",2,3.3,1,N,114,48,2,15,0.5,0.5,0,0,0.3,16.3,-,-
1,"1/1/2018, 2:43:03 AM","1/1/2018, 3:04:09 AM",2,2.8,1,N,48,162,1,14.5,0.5,0.5,3.95,0,0.3,19.75,-,-
2,"1/1/2018, 2:53:47 AM","1/1/2018, 3:00:46 AM",1,1.43,1,N,166,239,2,7.5,0.5,0.5,0,0,0.3,8.8,-,-
2,"1/1/2018, 2:22:01 AM","1/1/2018, 2:28:49 AM",2,1.37,1,N,90,125,1,7,0.5,0.5,1.66,0,0.3,9.96,-,-
2,"1/1/2018, 2:33:41 AM","1/1/2018, 2:40:17 AM",2,0.95,1,N,158,113,1,6,0.5,0.5,1.46,0,0.3,8.76,-,-
2,"1/1/2018, 2:44:04 AM","1/1/2018, 2:47:35 AM",2,0.67,1,N,113,90,1,4.5,0.5,0.5,1.16,0,0.3,6.96,-,-
2,"1/1/2018, 2:48:34 AM","1/1/2018, 3:07:44 AM",2,2.41,1,N,90,161,1,13.5,0.5,0.5,4.44,0,0.3,19.24,-,-
1,"1/1/2018, 2:35:33 AM","1/1/2018, 2:47:43 AM",4,1.8,1,N,238,143,1,10,0.5,0.5,2.25,0,0.3,13.55,-,-
2,"1/1/2018, 2:15:20 AM","1/1/2018, 2:29:07 AM",2,2.88,1,N,239,229,1,12,0.5,0.5,3.32,0,0.3,16.62,-,-
2,"1/1/2018, 2:31:08 AM","1/1/2018, 2:50:47 AM",2,3.36,1,N,140,239,2,15.5,0.5,0.5,0,0,0.3,16.8,-,-
2,"1/1/2018, 2:52:53 AM","1/1/2018, 3:07:23 AM",2,2.9,1,N,239,68,1,12.5,0.5,0.5,2.76,0,0.3,16.56,-,-
1,"1/1/2018, 2:25:32 AM","1/1/2018, 2:37:21 AM",1,0.9,1,N,237,161,2,8.5,0.5,0.5,0,0,0.3,9.8,-,-
1,"1/1/2018, 2:46:53 AM","1/1/2018, 3:04:50 AM",1,2.8,1,N,163,48,2,13,0.5,0.5,0,0,0.3,14.3,-,-
2,"12/31/2017, 2:12:14 PM","12/31/2017, 2:27:26 PM",1,2.91,1,N,143,141,1,12.5,0.5,0.5,1.38,0,0.3,15.18,-,-
2,"12/31/2017, 2:33:49 PM","12/31/2017, 2:47:42 PM",1,2.21,1,N,141,107,1,10.5,0.5,0.5,3.54,0,0.3,15.34,-,-
2,"12/31/2017, 2:52:15 PM","1/1/2018, 2:13:05 PM",1,1.95,1,N,107,68,2,13.5,0.5,0.5,0,0,0.3,14.8,-,-
1,"1/1/2018, 2:20:17 AM","1/1/2018, 2:51:01 AM",1,10.9,1,N,132,36,2,34,0.5,0.5,0,0,0.3,35.3,-,-
1,"1/1/2018, 2:45:44 AM","1/1/2018, 2:48:22 AM",1,0.9,1,N,141,262,1,5,0.5,0.5,1.25,0,0.3,7.55,-,-
1,"1/1/2018, 2:50:57 AM","1/1/2018, 3:01:19 AM",2,1.9,1,N,262,236,1,9,0.5,0.5,2.55,0,0.3,12.85,-,-
2,"1/1/2018, 2:44:39 AM","1/1/2018, 2:51:37 AM",5,1.28,1,N,74,41,2,6.5,0.5,0.5,0,0,0.3,7.8,-,-
2,"1/1/2018, 2:17:39 AM","1/1/2018, 2:40:39 AM",1,4.11,1,N,164,75,1,17.5,0.5,0.5,3.76,0,0.3,22.56,-,-
2,"1/1/2018, 2:47:31 AM","1/1/2018, 2:53:09 AM",1,1.44,1,N,263,162,1,6.5,0.5,0.5,1.56,0,0.3,9.36,-,-
1,"1/1/2018, 2:07:54 AM","1/1/2018, 2:24:30 AM",1,7.2,1,N,170,65,1,21.5,0.5,0.5,4.55,0,0.3,27.35,-,-
1,"1/1/2018, 2:30:36 AM","1/1/2018, 2:44:43 AM",1,3,1,N,65,113,1,13,0.5,0.5,2,0,0.3,16.3,-,-
1,"1/1/2018, 2:46:24 AM","1/1/2018, 3:05:44 AM",1,3.2,1,N,114,229,2,14,0.5,0.5,0,0,0.3,15.3,-,-
1,"1/1/2018, 2:19:42 AM","1/1/2018, 2:26:51 AM",1,1.3,1,N,237,236,2,7,0,0.5,0,0,0.3,7.8,-,-
1,"1/1/2018, 2:38:39 AM","1/1/2018, 2:45:36 AM",1,1.6,1,N,43,142,1,7.5,0,0.5,2.05,0,0.3,10.35,-,-
1,"1/1/2018, 2:48:33 AM","1/1/2018, 3:18:47 AM",1,10.5,1,N,142,220,2,32,0,0.5,0,2.64,0.3,35.44,-,-
2,"1/1/2018, 2:37:08 AM","1/1/2018, 3:29:00 AM",5,1.62,1,N,161,48,2,28,0.5,0.5,0,0,0.3,29.3,-,-
2,"1/1/2018, 2:11:59 AM","1/1/2018, 2:23:56 AM",1,2.08,1,N,179,7,2,8.5,0.5,0.5,0,0,0.3,9.8,-,-
2,"1/1/2018, 2:55:38 AM","1/1/2018, 3:02:27 AM",1,1.42,1,N,229,140,1,7,0.5,0.5,1.66,0,0.3,9.96,-,-
2,"1/1/2018, 1:57:13 AM","1/1/2018, 2:31:56 AM",1,6.11,1,N,140,236,2,17.5,0.5,0.5,0,0,0.3,18.8,-,-
2,"1/1/2018, 2:34:13 AM","1/1/2018, 2:43:05 AM",1,2.47,1,N,236,42,1,9.5,0.5,0.5,2.16,0,0.3,12.96,-,-
